P_ID,S_G30,S_G50,S_F75,S_FF,S_G50FF,NA1,NA2,NA3,NA4,NA5, PA1,PA2,IS1,IS2
P_5,1,0,0,0,0,0,0,0,0,0,1,0,0,0
P_6,0,0,0,0,0,1,0,0,0,1,1,1,0,1
P_8,0,0,1,1,0,0,0,0,0,0,1,0,0,0
P_11,0,0,0,0,0,0,0,0,0,0,0,0,0,1
P_16,1,1,1,0,0,0,0,0,0,0,0,0,0,1
P_17,0,0,0,0,0,0,0,0,1,0,1,0,0,0
P_18,1,1,0,0,0,0,0,0,0,0,0,0,0,0
P_19,1,0,0,0,0,0,0,0,0,0,0,1,0,0
P_20,0,0,1,0,0,0,0,0,0,0,0,0,0,1
P_22,1,1,0,0,0,1,0,0,0,0,0,0,0,0
P_27,1,0,1,1,0,0,0,0,0,0,1,0,0,0
P_28,0,0,0,0,0,1,0,0,0,1,1,0,0,0
P_29,1,1,1,1,1,0,0,0,0,1,0,0,0,0
P_30,0,0,0,0,0,0,0,0,0,0,0,0,0,1
P_31,1,0,0,0,0,0,0,0,0,1,1,0,0,1
P_36,1,1,1,0,0,0,0,1,0,0,1,0,0,0
P_37,0,0,0,0,0,0,0,0,0,0,0,0,1,0
P_38,0,0,1,1,0,1,0,0,0,1,0,0,1,1
P_44,1,0,1,0,0,0,0,1,0,0,0,0,0,1
P_45,0,0,0,0,0,0,0,0,0,0,0,0,0,1
P_46,0,0,1,0,0,0,0,0,0,0,0,0,0,0
P_48,0,0,1,1,0,0,0,0,0,0,1,0,0,0
P_50,0,0,0,0,0,0,0,1,0,0,1,0,0,0
P_56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P_57,0,0,1,0,0,0,0,0,0,0,0,0,0,1
P_60,0,0,0,0,0,0,0,0,0,0,1,0,0,0
P_64,0,0,0,0,0,0,0,0,0,1,0,0,0,0
P_65,1,0,0,0,0,0,0,0,0,0,0,1,0,1
P_67,0,0,1,0,0,1,0,0,0,0,0,0,0,1
P_69,0,0,0,0,0,0,0,0,0,0,0,0,0,1
P_72,0,0,1,1,0,1,0,0,0,0,0,1,1,0
P_74,0,0,1,1,0,0,0,0,1,0,0,0,0,0
P_77,1,1,1,1,1,0,0,0,1,0,1,1,0,0
P_78,0,0,0,0,0,1,0,0,0,0,0,0,1,0
P_80,1,1,1,1,1,0,0,0,1,0,0,0,0,1
P_81,0,0,0,0,0,0,0,0,0,0,0,0,1,0
P_82,1,1,1,1,1,0,0,0,0,0,1,0,0,0
P_83,0,0,0,0,0,1,0,0,0,0,0,0,0,0
P_90,0,0,1,0,0,1,0,0,0,0,0,0,0,0
P_91,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P_92,1,1,1,0,0,0,0,0,0,0,0,0,0,1
P_94,0,0,1,0,0,1,0,0,0,0,1,0,0,0
P_95,0,0,0,0,0,0,0,0,0,0,0,0,0,1
P_97,0,0,0,0,0,0,1,1,0,0,0,0,0,0
P_100,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P_105,0,0,1,0,0,0,0,0,0,0,0,0,0,1
P_107,0,0,0,0,0,0,0,1,0,0,0,0,0,0
P_109,0,0,0,0,0,0,0,0,0,0,0,0,0,1
P_111,1,1,1,1,1,0,0,0,0,0,1,0,0,0
P_114,0,0,0,0,0,0,1,0,0,0,0,0,0,0
P_115,1,1,1,0,0,0,0,0,0,0,0,0,0,1
P_117,0,0,0,0,0,0,0,0,0,0,0,0,0,1
P_120,0,0,0,0,0,0,0,1,0,0,1,0,0,1
P_121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P_122,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P_123,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P_125,1,0,0,0,0,0,1,0,0,0,0,0,0,0
P_126,0,0,0,0,0,0,1,0,1,0,0,0,0,0
P_131,1,0,1,1,0,0,0,0,0,0,0,0,0,0
P_135,0,0,0,0,0,0,0,0,0,0,0,1,0,0
P_137,0,0,1,1,0,0,0,1,0,0,1,1,0,0
P_138,0,0,0,0,0,0,0,0,0,0,0,1,0,0
P_139,1,1,1,1,1,0,0,1,0,0,0,0,0,0
P_140,0,0,1,0,0,1,0,0,0,0,0,0,0,0
P_142,1,0,1,0,0,0,0,0,0,1,0,1,0,0
P_146,0,0,1,0,0,0,0,0,0,1,0,1,0,1
P_150,0,0,1,0,0,0,0,0,0,1,0,0,0,0
P_151,0,0,1,0,0,0,0,0,0,0,1,0,0,0
P_153,0,0,0,0,0,0,0,0,0,0,0,0,0,1
P_154,1,0,0,0,0,1,1,0,0,0,0,0,0,0
P_155,1,1,1,1,1,0,0,0,0,0,0,1,0,1
P_156,0,0,1,0,0,0,0,0,1,1,0,0,0,0
P_157,0,0,1,0,0,0,0,0,0,0,0,0,0,1
P_158,0,0,1,0,0,0,0,0,1,0,0,0,0,1
P_159,1,0,1,1,0,0,0,0,0,0,0,0,0,1
P_162,0,0,1,1,0,1,0,0,0,0,0,0,0,0
P_165,0,0,0,0,0,0,0,0,0,0,0,0,0,1
P_166,0,0,0,0,0,0,0,0,0,0,1,1,0,0
P_167,0,0,1,0,0,0,0,0,0,0,0,1,0,0
P_168,1,0,0,0,0,0,0,0,1,0,0,0,0,0
P_170,0,0,0,0,0,0,0,1,0,0,0,0,0,0
P_171,0,0,0,0,0,0,0,0,1,0,0,0,0,0
P_174,0,0,0,0,0,0,0,0,0,0,0,0,0,1
P_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P_182,0,0,1,0,0,0,0,0,0,0,0,0,0,0
P_184,0,0,0,0,0,0,1,0,0,0,0,0,0,0
P_190,1,1,1,0,0,0,0,0,0,0,0,0,0,0
P_191,0,0,0,0,0,1,1,0,0,0,0,0,0,0
P_195,0,0,0,0,0,0,0,0,1,0,0,0,0,0
P_197,0,0,0,0,0,0,1,0,0,0,1,0,0,0
P_198,1,0,1,0,0,0,0,0,0,1,1,0,0,0
P_201,0,0,1,0,0,0,0,0,0,1,0,0,0,0
P_202,0,0,0,0,0,0,0,0,0,0,0,0,1,1
P_203,1,1,1,0,0,0,0,0,0,0,1,1,0,1
P_204,0,0,1,1,0,0,0,0,0,0,0,1,0,0
P_207,0,0,0,0,0,1,0,0,1,0,0,0,0,0
P_209,0,0,0,0,0,0,0,0,0,0,0,0,1,0
P_210,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P_213,1,1,0,0,0,0,0,0,0,0,0,0,0,0
P_214,0,0,0,0,0,0,0,0,0,0,0,1,0,1
P_216,0,0,0,0,0,0,1,0,0,0,0,0,0,0
P_219,0,0,0,0,0,1,1,0,0,1,0,0,0,0
P_220,0,0,0,0,0,0,0,0,0,0,0,0,1,0
P_224,1,1,1,0,0,0,0,0,0,0,1,1,0,0
P_225,0,0,1,1,0,1,0,0,1,0,0,0,1,0
P_226,0,0,1,1,0,0,1,0,0,0,0,0,0,0
P_227,0,0,1,0,0,1,0,0,0,0,0,0,0,0
P_232,1,0,1,1,0,1,1,0,0,0,1,0,0,0
P_233,0,0,0,0,0,0,1,0,0,0,0,0,0,0
P_235,0,0,0,0,0,0,1,0,0,0,0,0,0,0
P_237,0,0,0,0,0,0,0,0,0,0,0,0,0,1
P_238,0,0,1,1,0,0,0,0,1,0,0,0,0,0
P_241,0,0,1,1,0,0,0,0,0,0,0,0,0,0
P_244,1,0,0,0,0,0,0,0,0,0,1,0,0,0
P_245,0,0,0,0,0,0,0,0,0,0,0,0,0,1
P_246,0,0,1,0,0,0,0,0,0,0,0,0,0,1
P_248,1,0,0,0,0,0,0,1,1,0,0,0,0,0
P_249,1,1,1,1,1,0,0,0,0,0,0,0,1,0
P_250,0,0,0,0,0,0,0,1,0,0,0,0,0,0
P_251,0,0,1,1,0,0,0,0,0,0,1,1,0,1
P_252,0,0,1,1,0,0,0,0,0,0,0,0,0,0
P_254,1,1,1,1,1,0,0,0,1,0,0,0,0,0
P_256,0,0,0,0,0,1,0,0,0,0,0,0,0,0
P_259,0,0,1,1,0,0,0,1,0,0,0,0,0,0
P_260,0,0,0,0,0,0,0,0,0,0,0,0,0,1
P_266,1,1,1,0,0,1,0,0,0,0,0,0,1,0
P_267,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P_268,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P_269,1,1,0,0,0,0,0,1,0,0,0,0,0,0
P_270,0,0,0,0,0,1,0,0,0,0,0,0,0,0
P_271,0,0,0,0,0,0,0,1,0,0,0,0,0,0
P_275,1,1,0,0,0,0,0,0,0,0,0,0,0,0
P_280,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P_282,1,1,1,0,0,0,0,0,0,0,1,1,0,0
P_285,1,1,1,1,1,0,0,0,0,0,0,0,0,0
P_286,1,0,0,0,0,0,0,0,0,1,0,1,1,1
P_287,0,0,1,0,0,0,0,0,0,0,1,1,0,0
P_289,0,0,1,1,0,0,0,0,1,0,0,0,0,0
P_290,1,0,0,0,0,0,0,0,0,0,0,1,0,0
P_291,0,0,0,0,0,0,0,0,0,0,0,1,0,1
P_292,0,0,1,0,0,1,0,0,0,0,1,0,1,0
P_297,0,0,1,0,0,1,0,0,0,0,0,0,1,0
P_299,0,0,1,0,0,0,0,0,0,0,0,1,0,0
P_301,0,0,0,0,0,1,1,0,0,0,0,0,1,0
P_303,1,0,1,0,0,0,1,1,0,0,0,0,0,0
P_304,1,0,1,0,0,0,0,0,0,0,0,1,0,1
P_305,0,0,0,0,0,0,0,0,0,0,0,0,0,1
P_306,0,0,0,0,0,0,0,0,1,0,0,0,0,1
P_307,1,0,1,0,0,0,0,0,0,0,1,0,0,0
P_311,1,1,1,1,1,1,1,1,0,0,0,0,0,0
P_312,0,0,1,0,0,0,0,0,0,0,0,0,0,1
P_313,0,0,1,1,0,0,1,0,0,0,0,0,0,0
P_315,1,0,0,0,0,0,0,0,0,0,1,0,0,0
P_317,0,0,1,0,0,0,0,0,0,0,0,0,0,0
P_318,0,0,0,0,0,0,1,0,0,0,0,0,0,0
P_323,0,0,1,1,0,1,0,0,0,0,0,0,0,0
P_324,0,0,1,1,0,1,0,0,0,1,0,0,1,1
P_325,0,0,1,0,0,0,0,0,1,0,1,0,0,0
P_326,1,0,0,0,0,0,0,0,0,0,1,0,0,0
P_329,1,1,1,1,1,0,0,0,0,0,1,0,0,0
P_330,0,0,0,0,0,0,0,0,0,0,1,0,0,0
P_333,0,0,1,1,0,0,0,1,0,0,0,0,0,0
P_334,1,0,0,0,0,0,0,0,0,0,1,0,0,0
P_340,0,0,0,0,0,0,0,0,1,0,1,0,0,1
P_344,0,0,0,0,0,0,0,0,0,1,0,0,0,0
P_346,0,0,1,1,0,0,0,0,1,0,0,0,0,0
P_348,0,0,1,1,0,0,0,0,1,0,0,0,0,0
P_351,1,1,1,1,1,0,1,0,0,0,0,0,0,0
P_352,0,0,0,0,0,0,0,0,0,0,0,0,0,1
P_355,0,0,0,0,0,0,0,0,0,0,0,0,0,1
P_356,0,0,0,0,0,0,0,0,0,0,0,0,1,0
P_357,0,0,1,0,0,0,0,1,0,0,0,0,0,0
P_359,0,0,1,1,0,0,0,1,0,0,0,0,0,1
P_361,1,1,1,1,1,0,0,0,0,0,1,0,0,0
P_362,0,0,1,0,0,0,0,0,0,0,0,0,0,0
P_366,0,0,1,0,0,0,0,0,0,0,0,1,0,1
P_367,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P_370,0,0,1,0,0,0,0,0,1,0,0,0,0,0
P_372,0,0,0,0,0,0,1,0,0,0,1,0,0,0
P_376,0,0,1,0,0,0,0,0,0,0,0,0,0,1
P_377,1,1,1,1,1,0,0,0,0,0,0,0,0,0
P_384,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P_391,1,0,0,0,0,0,0,0,0,0,0,1,0,0
P_394,0,0,1,0,0,0,0,0,0,0,1,0,0,0
P_398,1,1,1,0,0,0,0,0,1,0,0,0,0,1
P_402,0,0,0,0,0,0,0,0,0,0,0,0,0,0
