NASA,TA,EXT,AGR,CS,NT,OP,AV,EM,Task,H,RS,WH,TWR,BR,NP,FA,AP,AR,DWH,DWR,T,DS,Rank,actual,prediction
28,48,7,6,9,7,10,16,18,19,23,2,2,60,2,1,5,2,3,2,80,1,2,2,0,0
22,40,8,8,10,4,10,25,25,31,16,1,2,40,2,1,1,2,3,1,50,2,2,0,0,0
23,32,5,9,9,4,9,24,15,32,18,2,2,30,2,1,1,2,5,1,60,1,1,1,0,0
19,29,9,6,10,4,9,31,16,33,25,1,2,40,1,3,1,2,5,2,100,2,1,2,0,0
21,28,3,9,9,4,7,14,10,31,105,1,2,60,1,3,1,2,3,2,70,2,1,2,0,0
14,37,8,9,6,3,9,22,13,22,26,2,2,40,1,2,1,2,4,2,60,1,2,2,0,0
25,43,3,8,6,5,7,14,22,27,21,1,2,60,1,3,1,2,2,1,80,2,2,0,0,0
24,39,9,6,7,5,7,20,15,25,3,2,2,50,1,1,2,2,3,2,100,1,2,0,0,0
23,41,9,7,10,5,8,15,9,33,9,1,2,30,1,3,3,1,2,2,70,1,1,0,0,0
19,37,4,10,5,4,10,10,16,24,50,1,2,40,1,1,2,1,1,2,70,2,2,2,1,0
21,30,7,9,10,5,9,14,14,29,49,1,2,50,1,1,2,2,5,2,60,1,2,2,1,0
32,49,4,5,5,6,7,16,28,27,17,2,2,50,2,2,1,2,2,2,70,1,1,1,0,0
25,53,9,7,6,7,8,22,28,23,18,2,2,60,2,3,1,2,4,2,90,2,2,1,0,0
20,56,4,4,6,9,8,22,25,21,26,2,2,40,1,2,1,2,2,2,40,2,2,1,0,0
35,44,5,10,10,5,8,15,17,28,35,2,2,70,2,3,1,1,4,2,70,2,2,2,0,0
21,24,6,10,9,2,8,22,8,29,34,1,2,40,2,2,1,2,3,2,90,2,2,2,1,0
20,39,10,10,9,5,6,19,13,24,11,1,2,60,2,3,2,2,2,2,90,2,1,0,0,0
23,39,5,9,7,4,8,9,14,28,36,1,2,50,1,1,1,2,1,2,60,1,1,2,0,0
21,48,4,5,8,7,5,26,18,30,28,2,2,20,2,1,1,2,2,2,40,2,1,2,1,0
16,38,8,7,10,5,9,31,20,32,11,2,2,60,2,2,1,2,5,2,80,2,1,0,0,0
17,25,9,9,9,3,8,23,10,28,87,1,1,50,1,2,5,1,2,2,70,1,1,2,0,0
36,47,8,9,9,8,9,21,21,21,7,2,2,40,1,1,1,2,3,2,70,1,2,0,0,0
31,38,5,6,6,7,6,13,21,30,24,2,2,40,2,2,2,2,5,2,70,2,1,1,0,0
26,51,5,5,8,8,7,16,24,27,49,1,2,20,1,2,2,2,4,2,70,1,2,2,0,0
17,31,6,6,10,3,10,18,10,32,48,2,2,30,1,1,2,2,3,2,80,2,2,1,1,0
26,45,3,7,8,4,8,17,9,29,49,2,2,70,1,3,1,2,2,1,60,2,1,2,0,0
31,47,8,5,9,9,9,19,26,30,16,2,2,40,2,1,3,1,3,2,80,2,2,0,0,0
29,37,10,7,9,8,8,24,22,28,25,1,2,60,2,2,2,2,4,2,90,2,2,2,0,0
26,30,7,6,8,3,6,16,10,32,34,2,2,40,2,2,1,2,1,2,70,2,2,0,0,0
16,26,6,9,7,2,10,19,7,29,119,2,2,50,1,2,1,2,4,2,70,1,1,2,0,0
28,48,6,7,8,8,7,15,22,21,22,2,2,20,2,3,4,1,2,2,10,1,2,1,1,0
28,34,2,6,7,4,6,11,15,33,18,2,2,50,2,2,2,2,5,2,80,1,2,1,0,0
15,28,6,5,5,3,5,24,7,26,9,1,1,30,1,2,4,2,2,1,40,1,2,0,0,0
25,33,7,9,9,6,9,28,18,21,29,1,1,30,1,2,1,1,4,2,60,1,2,2,0,0
19,47,5,10,10,6,6,23,23,30,38,2,2,60,2,1,2,2,5,2,30,2,2,1,0,0
25,40,5,8,8,4,7,18,19,28,22,1,2,20,2,3,6,2,2,2,40,1,2,2,0,0
21,37,10,8,10,2,3,18,14,29,45,1,2,30,2,2,1,2,3,2,80,1,2,2,0,0
18,48,4,7,8,10,7,13,24,27,26,1,2,10,2,2,6,2,2,2,50,2,2,2,1,0
14,28,7,7,10,3,10,16,15,35,99,2,2,70,1,1,2,1,4,1,80,1,2,2,0,0
17,34,4,9,8,3,5,15,15,25,31,1,2,30,1,2,1,1,3,2,70,1,2,2,0,0
14,38,9,7,6,5,8,17,21,21,16,2,1,40,1,2,1,2,3,1,40,2,1,1,0,0
28,56,8,6,7,10,9,26,31,27,29,1,2,40,1,3,1,2,2,2,60,1,2,1,0,0
24,41,10,10,10,4,6,19,14,30,12,2,2,50,2,3,1,1,3,2,80,1,2,0,0,0
30,39,6,9,10,7,4,12,20,26,32,2,2,40,2,2,5,2,4,2,80,2,1,0,0,0
35,55,7,9,10,7,9,19,25,32,40,1,2,10,2,1,1,2,5,2,90,2,2,2,1,0
20,57,4,5,7,8,6,19,23,23,20,2,2,50,1,2,1,1,2,2,70,2,1,0,0,0
19,35,8,8,9,4,3,22,20,26,9,1,2,20,2,2,1,2,4,2,70,1,2,0,0,0
28,64,4,5,7,10,7,19,30,19,15,2,2,40,2,2,4,1,4,2,60,2,2,0,0,0
26,44,10,10,10,3,9,14,14,31,77,1,2,50,1,3,1,2,5,2,60,1,2,2,0,0
27,58,7,7,9,8,8,20,27,32,2,2,1,40,1,1,1,1,4,2,70,2,2,0,0,0
24,42,7,8,6,4,6,25,12,32,23,2,2,20,2,1,4,2,4,2,60,2,2,1,0,0
25,50,5,7,7,7,10,29,18,27,8,1,2,60,2,3,1,2,4,2,50,1,2,0,0,0
24,44,4,7,5,8,7,21,16,29,20,1,1,50,1,2,1,2,3,2,60,1,2,1,0,0
23,36,5,8,10,4,10,11,12,23,29,1,2,60,2,1,1,2,4,2,70,2,2,2,0,0
17,35,6,9,7,4,8,25,14,31,25,2,2,30,2,2,1,2,5,2,70,1,1,1,1,0
31,33,9,6,10,6,9,26,11,32,8,2,2,40,1,2,2,2,4,2,80,1,2,0,0,0
24,38,5,7,7,4,8,14,17,29,17,2,2,30,1,1,2,2,4,1,30,2,1,2,0,0
26,49,3,7,10,8,10,7,25,34,29,2,2,40,2,2,1,2,4,2,40,1,2,1,0,0
29,43,9,8,6,8,7,29,28,25,31,1,2,30,1,1,6,2,5,2,50,2,2,2,0,0
28,35,6,10,10,2,5,12,10,31,38,2,2,50,2,3,1,2,3,2,70,1,2,2,0,0
23,44,4,9,6,6,6,20,23,27,27,2,2,30,1,1,1,2,1,2,70,2,2,2,1,0
21,30,9,7,10,8,6,31,16,34,26,2,2,30,1,1,1,2,3,2,50,2,1,2,0,0
23,55,4,6,7,7,6,15,25,28,27,2,2,60,2,2,1,1,2,2,80,2,2,2,0,0
11,52,7,6,9,6,8,29,11,25,9,1,1,40,1,2,1,1,4,2,70,1,1,0,0,0
26,56,2,5,9,9,8,16,25,18,26,1,2,20,2,3,2,2,3,2,30,2,1,1,0,0
20,48,10,8,9,4,10,22,23,25,21,2,2,30,1,1,1,2,3,2,70,1,2,1,0,0
24,38,6,9,10,5,6,14,17,31,9,2,2,30,2,1,6,2,4,2,60,2,2,1,1,0
17,57,7,10,7,4,6,17,31,23,36,1,2,40,1,2,1,2,4,2,80,1,2,1,0,0
13,34,6,7,8,3,10,16,10,27,25,2,2,40,1,3,1,2,5,2,10,1,1,0,0,0
22,57,6,7,10,4,8,20,25,28,19,2,2,30,2,1,1,2,4,2,40,1,2,1,0,0
26,41,3,6,10,6,7,11,16,30,42,1,2,50,1,2,1,2,3,1,60,2,1,1,0,0
25,34,9,8,10,3,6,24,18,26,27,2,2,60,1,3,3,2,4,2,90,2,2,2,0,0
21,29,9,10,9,3,7,13,10,30,60,1,2,70,2,1,1,2,4,1,80,2,1,2,0,0
20,33,6,6,6,8,10,26,10,32,10,1,2,50,1,3,1,1,1,2,60,2,2,0,0,0
25,34,3,10,9,2,8,12,13,34,23,2,2,70,1,3,1,2,4,2,90,1,2,2,0,0
24,41,10,8,10,5,10,27,12,29,28,1,2,50,2,1,2,2,5,2,70,2,2,1,0,0
18,56,2,4,9,9,6,9,31,33,22,1,2,60,2,3,1,2,3,2,90,1,2,2,0,0
18,49,2,7,8,8,7,24,26,33,35,2,2,60,2,1,1,2,2,2,80,1,2,1,1,0
17,39,8,7,9,6,7,26,21,27,198,2,2,30,1,1,3,2,1,1,50,2,1,2,1,1
16,54,3,7,3,9,6,23,24,16,17,2,2,40,1,2,1,2,2,2,60,1,2,0,0,0
