NASA,TA,H,RS,WH,TWR,BR,NP,FA,AP,AR,DWH,DWR,T,DS,Rank,BFI_SUM,CISS_SUM,SR
31,38,3.17809549614658,2,2,40,2,2,2,2,5,2,70,2,1,1,30,64,0
18,31,2.30268508799438,2,1,50,1,1,1,1,2,2,70,2,1,2,32,59,0
13,38,2.4849899796492996,2,2,30,2,3,1,2,2,2,80,1,1,1,36,62,0
29,52,3.33224022382318,2,2,20,2,2,1,2,5,2,60,2,2,1,36,73,0
22,25,3.66358728682656,2,2,40,2,3,1,2,4,2,60,1,2,1,31,55,0
27,48,3.43401946202938,2,2,40,2,3,1,1,4,2,90,2,2,1,34,67,0
21,30,3.46576715231146,1,2,40,2,3,1,1,2,2,80,1,2,2,32,63,0
22,28,2.70811686554675,2,2,50,1,2,1,2,2,2,50,1,2,1,28,57,0
19,32,4.70048945666019,2,2,40,1,2,2,2,3,2,70,1,2,2,35,68,0
24,41,2.4849899796492996,2,2,50,2,3,1,1,3,2,80,1,2,0,40,63,0
26,25,2.83327216585559,1,2,60,2,2,1,2,5,2,70,1,1,2,31,69,0
23,30,3.25813499882032,2,2,60,2,1,1,2,3,2,20,2,2,2,34,47,0
15,48,3.3673303121505804,1,2,30,1,1,1,2,5,2,80,1,2,2,27,71,0
15,28,2.1973356822749497,1,1,30,1,2,4,2,2,1,40,1,2,0,24,57,0
25,33,3.3673303121505804,1,1,30,1,2,1,1,4,2,60,1,2,2,40,67,0
23,55,3.29587390235551,2,2,60,2,2,1,1,2,2,80,2,2,2,30,68,0
25,59,2.9444916093603903,2,2,40,2,3,1,2,2,2,60,2,2,1,34,78,0
28,41,2.1973356822749497,2,2,30,2,2,1,1,5,2,90,1,2,0,42,67,0
23,45,2.5650262775800297,2,2,20,2,2,1,2,3,2,70,2,2,0,41,71,0
25,50,2.07956653386799,1,2,60,2,3,1,2,4,2,50,1,2,0,36,74,0
21,47,3.82866313538324,2,2,30,1,3,6,2,1,2,60,2,2,2,40,63,0
27,39,3.78421236093273,1,2,30,1,1,1,1,2,2,0,1,2,1,33,60,0
25,41,3.9318452403752295,2,2,50,2,3,1,2,4,2,70,1,2,2,32,56,0
23,56,2.77265122028674,2,2,50,1,2,1,2,2,2,70,2,2,1,38,79,0
25,54,3.2189158240682203,2,2,40,1,1,1,2,2,2,60,2,2,0,41,60,0
23,37,3.17809549614658,2,2,30,1,2,1,2,5,2,70,1,2,2,32,65,0
18,20,3.0445700556372897,2,2,50,2,2,1,2,3,2,70,1,2,2,35,61,0
26,35,3.13553769324487,2,2,70,1,3,1,1,5,2,90,1,1,1,33,66,0
24,49,3.25813499882032,2,1,60,2,3,1,1,2,2,80,1,2,2,34,75,0
27,28,2.9444916093603903,1,2,20,1,3,1,2,4,2,60,1,2,1,36,72,0
21,37,3.2189158240682203,2,2,60,1,1,1,2,3,2,80,2,2,1,36,74,0
28,44,3.25813499882032,1,2,50,1,2,1,2,5,2,70,2,1,2,40,74,0
25,52,2.70811686554675,2,2,40,2,1,1,2,5,2,80,1,2,1,38,71,0
22,36,2.9444916093603903,1,2,70,2,2,6,2,5,1,70,2,1,1,40,80,0
20,39,2.3979861777573,1,2,60,2,3,2,2,2,2,90,2,1,0,40,56,0
16,38,2.3979861777573,2,2,60,2,2,1,2,5,2,80,2,1,0,39,83,0
30,67,3.82866313538324,2,2,60,2,2,1,1,5,2,80,1,2,1,34,56,0
26,58,3.0445700556372897,1,2,40,2,2,3,2,2,2,60,1,2,0,31,62,0
21,53,3.97031078129865,2,2,40,1,1,2,2,5,2,40,2,1,2,32,65,0
26,45,3.25813499882032,2,2,20,1,2,2,1,3,2,70,1,2,2,33,76,0
22,46,3.6376124751696097,2,2,60,1,2,1,2,2,2,80,2,2,0,36,72,0
18,26,3.7612233712371004,2,2,70,1,2,4,2,5,2,80,1,2,2,34,75,0
26,22,3.97031078129865,1,2,30,2,2,1,2,4,2,60,2,2,2,27,57,0
25,43,3.78421236093273,2,2,10,2,2,1,2,5,2,60,1,2,2,43,79,0
24,38,2.9444916093603903,1,2,40,1,3,1,2,3,2,50,2,2,2,29,62,0
26,62,2.99578227230403,1,2,40,1,1,1,2,4,2,90,2,2,1,38,78,0
25,26,3.09108790687074,2,2,10,2,2,4,1,1,2,60,1,2,2,27,46,0
16,25,2.63912875563579,2,2,50,2,3,1,2,3,2,70,1,1,0,32,58,0
27,56,3.17809549614658,1,2,20,1,3,1,2,4,2,50,1,2,1,33,61,0
20,29,3.40123071443995,1,2,50,1,3,3,1,5,2,60,2,1,1,34,54,0
31,33,2.07956653386799,2,2,40,1,2,2,2,4,2,80,1,2,0,40,69,0
14,60,3.85016887807946,2,2,40,1,1,1,2,2,2,80,2,1,2,35,66,0
36,51,1.6096378924367698,1,2,90,2,3,2,2,5,1,90,2,1,2,37,72,0
31,31,3.13553769324487,2,2,40,2,3,1,2,2,2,70,1,2,1,38,73,0
25,41,1.6096378924367698,2,2,50,1,2,1,2,3,2,60,2,1,0,40,74,0
22,52,2.9444916093603903,1,2,50,1,2,1,2,3,2,70,1,2,1,36,68,0
31,49,3.46576715231146,2,2,50,2,2,1,2,5,2,80,1,2,1,36,73,0
30,44,3.0445700556372897,1,2,40,1,3,2,2,4,2,50,1,2,1,37,66,0
28,52,2.3979861777573,2,2,70,1,2,1,2,4,2,70,2,2,0,30,61,0
21,30,3.25813499882032,2,2,30,1,1,1,2,3,2,50,2,1,2,40,81,0
28,55,2.70811686554675,2,2,50,2,3,1,1,3,2,80,1,2,0,34,66,0
20,36,3.68890445380144,2,2,40,2,2,1,2,5,2,50,2,2,2,35,65,0
28,34,2.89042731190857,2,2,50,2,2,2,2,5,2,80,1,2,1,25,59,0
25,47,3.2189158240682203,1,2,60,1,1,1,2,4,2,90,2,2,1,35,58,0
35,44,2.30268508799438,2,2,30,2,3,6,2,2,2,50,2,2,1,33,75,0
17,42,3.7376934275237406,2,1,30,1,1,1,2,3,2,90,2,2,2,34,71,0
21,51,3.0445700556372897,2,2,50,1,2,2,2,5,2,70,1,2,0,29,69,0
20,57,2.99578227230403,2,2,50,1,2,1,1,2,2,70,2,1,0,30,65,0
6,47,1.3865443298751,1,1,0,1,1,1,2,1,1,0,1,1,0,30,21,0
23,47,1.7919261220073799,2,1,30,1,1,1,2,2,2,70,1,2,1,41,74,0
17,34,3.43401946202938,1,2,30,1,2,1,1,3,2,70,1,2,2,29,55,0
15,68,2.77265122028674,2,2,50,1,3,6,1,4,2,50,1,2,2,33,80,0
17,57,2.3979861777573,2,2,20,2,1,6,2,4,2,50,1,2,1,37,69,0
24,60,2.70811686554675,1,2,30,2,3,1,2,2,2,60,1,2,1,33,78,0
24,46,3.55537663250983,2,2,20,2,2,1,2,5,2,70,2,1,2,36,64,0
31,55,3.40123071443995,2,2,50,2,3,4,2,2,2,70,1,2,2,43,74,0
26,57,2.63912875563579,1,2,50,2,3,1,2,4,2,60,1,2,1,38,82,0
22,50,3.66358728682656,2,2,20,1,1,1,2,5,2,60,1,1,2,39,70,0
25,33,3.52638993594835,2,2,20,1,3,2,2,3,2,50,2,1,2,36,62,0
20,26,2.89042731190857,2,2,60,2,2,1,2,3,2,70,2,1,1,38,59,0
19,47,3.46576715231146,2,2,60,1,1,1,2,2,2,70,1,1,2,36,60,0
34,61,2.99578227230403,1,2,70,2,3,1,1,3,2,80,1,2,0,40,80,0
16,45,3.66358728682656,1,2,50,1,2,2,2,5,2,80,2,1,2,29,71,0
30,60,3.0445700556372897,2,2,30,2,3,5,2,2,2,40,1,2,0,36,72,0
19,48,3.09108790687074,2,2,20,2,1,2,2,5,2,80,1,2,2,32,77,0
23,38,2.77265122028674,2,2,30,2,1,1,2,3,2,70,2,2,1,38,74,0
25,25,3.40123071443995,1,2,60,2,2,2,2,3,2,70,2,2,2,31,66,0
18,49,2.70811686554675,2,2,50,1,1,1,2,4,2,70,1,2,1,30,63,0
24,32,4.09436122874988,2,2,20,1,2,1,2,5,2,30,2,2,2,37,66,0
35,44,3.55537663250983,2,2,70,2,3,1,1,4,2,70,2,2,2,38,60,0
25,51,3.7135964566507704,1,2,40,1,3,5,1,2,2,100,2,1,1,42,77,0
23,48,3.3673303121505804,1,2,40,2,2,1,1,3,2,40,1,2,1,35,73,0
26,41,3.33224022382318,2,2,40,2,3,3,2,3,2,60,2,2,2,36,61,0
20,29,4.00735136688537,1,2,60,2,3,3,2,4,2,20,1,2,2,34,66,0
33,40,3.09108790687074,2,2,60,1,3,1,2,4,2,70,2,2,0,30,66,0
36,70,3.4965378640376605,2,2,30,1,3,1,2,5,2,50,2,2,1,41,70,0
20,48,3.0445700556372897,2,2,30,1,1,1,2,3,2,70,1,2,1,41,70,0
19,26,3.68890445380144,1,2,40,2,2,1,1,2,2,60,2,2,2,30,46,0
21,46,2.70811686554675,2,2,50,1,2,1,2,4,2,80,1,2,0,39,66,0
19,47,3.6376124751696097,2,2,60,2,1,2,2,5,2,30,2,2,1,37,76,0
18,56,3.09108790687074,1,2,60,2,3,1,2,3,2,90,1,2,2,30,73,0
21,33,3.09108790687074,1,2,50,1,2,1,2,4,2,90,2,2,1,38,83,0
16,54,2.83327216585559,2,2,40,1,2,1,2,2,2,60,1,2,0,28,63,0
26,56,3.25813499882032,1,2,20,2,3,2,2,3,2,30,2,1,1,33,59,0
29,37,3.2189158240682203,1,2,60,2,2,2,2,4,2,90,2,2,2,42,74,0
26,49,3.3673303121505804,2,2,40,2,2,1,2,4,2,40,1,2,1,38,66,0
21,51,2.83327216585559,2,2,50,1,2,2,1,3,2,90,1,2,0,40,60,0
18,35,3.89184070606565,2,2,60,1,3,1,2,5,2,80,1,2,2,31,52,0
17,34,4.189669893426791,1,2,30,1,2,2,2,2,2,50,2,2,2,34,67,0
23,43,3.55537663250983,2,2,40,1,2,1,2,4,2,70,2,2,2,30,62,0
13,38,2.5650262775800297,2,1,40,1,2,2,2,4,1,50,2,1,1,34,76,0
32,49,2.83327216585559,2,2,50,2,2,1,2,2,2,70,1,1,1,27,71,0
22,48,3.25813499882032,1,2,20,1,1,2,2,4,2,50,1,2,2,38,66,0
22,40,2.77265122028674,1,2,40,2,1,1,2,3,1,50,2,2,0,40,81,0
23,30,2.30268508799438,1,2,60,1,3,2,1,2,2,80,1,1,1,35,67,0
36,47,1.94605299599506,2,2,40,1,1,1,2,3,2,70,1,2,0,43,63,0
21,39,3.13553769324487,2,2,50,1,3,1,2,4,2,80,1,1,1,28,67,0
16,36,3.46576715231146,2,2,50,1,1,3,2,4,1,50,2,1,2,35,72,0
22,49,2.3979861777573,2,2,40,1,3,1,2,3,2,70,1,1,0,32,72,0
28,37,2.83327216585559,2,2,40,2,1,2,2,5,2,80,2,2,0,35,61,0
19,45,3.40123071443995,1,2,40,1,2,2,2,2,2,60,1,2,1,31,69,0
30,39,3.46576715231146,2,2,40,2,2,5,2,4,2,80,2,1,0,36,58,0
17,55,3.3673303121505804,2,2,50,1,2,6,2,3,2,80,1,2,1,32,74,0
24,43,3.55537663250983,2,2,50,1,3,1,2,2,2,60,1,2,2,35,69,0
26,50,2.77265122028674,2,2,40,2,3,2,2,3,2,60,2,1,0,30,69,0
19,52,2.70811686554675,2,2,50,1,2,1,1,4,2,70,1,2,1,35,67,0
25,52,2.89042731190857,1,1,30,1,2,6,2,2,2,70,2,2,1,37,69,0
11,28,3.55537663250983,1,2,70,1,3,1,2,4,2,80,1,2,2,36,58,0
25,36,3.2189158240682203,1,2,50,1,3,1,2,3,2,90,2,2,2,28,64,0
22,37,2.99578227230403,1,2,40,1,2,1,2,2,2,80,2,2,2,41,75,0
28,64,2.70811686554675,2,2,40,2,2,4,1,4,2,60,2,2,0,33,68,0
18,41,2.70811686554675,2,2,70,1,2,1,1,5,2,90,1,2,0,33,58,0
19,45,3.9890025649113303,2,2,40,1,1,1,1,5,2,70,1,2,1,35,70,0
26,52,3.6376124751696097,1,2,30,1,3,1,1,3,2,60,1,2,2,37,64,0
21,30,3.40123071443995,2,2,30,2,1,1,2,3,2,90,1,2,2,37,62,0
23,41,2.1973356822749497,1,2,30,1,3,3,1,2,2,70,1,1,0,39,57,0
17,34,3.55537663250983,2,2,50,1,1,1,2,2,2,50,2,1,2,40,67,0
28,53,2.70811686554675,2,2,10,1,1,1,2,3,2,50,2,2,2,36,57,0
21,36,2.99578227230403,1,2,40,1,3,1,1,2,2,80,2,2,2,37,74,0
16,27,3.55537663250983,1,2,40,1,1,1,2,3,1,60,1,2,2,31,70,0
23,50,2.77265122028674,1,2,40,1,3,1,2,4,2,60,2,2,0,37,71,0
21,37,3.09108790687074,1,2,40,2,3,1,2,4,2,20,2,2,2,41,64,0
15,30,2.07956653386799,2,1,40,1,2,1,1,4,2,80,2,1,0,27,64,0
17,57,3.5835467158480903,1,2,40,1,2,1,2,4,2,80,1,2,1,34,71,0
26,24,3.52638993594835,1,2,70,1,3,2,2,3,2,70,2,1,1,30,60,0
24,42,2.89042731190857,2,2,20,1,1,1,2,5,2,60,1,2,2,34,59,0
28,31,2.70811686554675,2,2,50,1,3,1,2,5,2,70,2,2,0,32,67,0
11,52,2.1973356822749497,1,1,40,1,2,1,1,4,2,70,1,1,0,36,65,0
24,42,3.13553769324487,2,2,20,2,1,4,2,4,2,60,2,2,1,31,69,0
28,35,3.6376124751696097,2,2,50,2,3,1,2,3,2,70,1,2,2,33,53,0
16,31,2.30268508799438,2,2,50,2,3,5,2,4,2,70,2,2,0,38,68,0
24,34,3.82866313538324,1,2,30,2,3,2,2,5,2,40,2,1,2,33,70,0
21,31,4.02536954771857,1,2,20,2,1,1,1,1,2,60,2,2,2,42,61,0
25,50,2.83327216585559,2,2,20,2,2,1,2,5,2,60,1,2,2,32,63,0
25,63,2.99578227230403,2,2,30,2,1,3,2,5,2,70,1,2,0,42,83,0
18,66,3.52638993594835,1,2,70,1,2,1,2,2,2,90,1,2,2,43,70,0
22,46,2.3979861777573,2,2,50,1,3,1,2,1,1,60,1,2,0,41,74,0
27,58,0.6936470556015961,2,1,40,1,1,1,1,4,2,70,2,2,0,39,79,0
22,57,2.9444916093603903,2,2,30,2,1,1,2,4,2,40,1,2,1,35,73,0
26,55,2.77265122028674,1,2,60,2,2,1,2,4,2,70,1,2,1,30,63,0
18,42,3.0445700556372897,2,2,60,1,3,1,2,2,2,70,1,1,0,31,56,0
28,58,3.68890445380144,2,2,10,1,2,5,1,5,2,20,1,2,2,39,77,0
30,48,3.25813499882032,2,2,70,2,2,1,2,4,2,80,1,2,0,35,49,0
29,59,3.46576715231146,2,2,10,2,3,6,2,2,2,50,1,2,0,30,67,0
18,57,2.9444916093603903,1,2,50,1,1,1,2,3,2,70,1,2,2,36,70,0
12,35,3.13553769324487,1,2,50,2,1,3,2,5,2,50,1,2,2,33,51,0
9,47,2.4849899796492996,2,2,30,2,2,1,2,3,2,60,2,2,2,38,71,0
11,53,3.0445700556372897,2,1,10,2,1,1,2,5,2,80,1,2,2,29,70,0
18,35,2.07956653386799,2,2,20,1,1,1,1,1,2,40,1,2,1,32,68,0
27,40,2.9444916093603903,2,2,40,2,2,2,2,2,2,60,1,2,1,34,72,0
6,37,1.7919261220073799,1,2,30,2,2,1,2,2,2,50,1,2,0,25,59,0
32,46,3.13553769324487,2,2,50,2,1,1,2,5,2,70,2,1,1,29,67,0
14,28,4.595129951093679,2,2,70,1,1,2,1,4,1,80,1,2,2,37,66,0
26,37,2.9444916093603903,1,2,50,2,1,2,2,5,2,80,2,1,1,36,60,0
22,38,3.78421236093273,2,2,40,2,1,2,2,3,2,60,2,1,1,32,69,0
18,32,2.99578227230403,2,2,30,1,2,5,1,2,2,60,2,2,1,34,73,0
26,44,4.343818408782339,1,2,50,1,3,1,2,5,2,60,1,2,2,42,59,0
19,22,3.82866313538324,1,2,50,2,1,2,2,5,1,60,1,1,2,32,48,0
13,34,3.2189158240682203,2,2,40,1,3,1,2,5,2,10,1,1,0,34,53,0
24,41,3.33224022382318,1,2,50,2,1,2,2,5,2,70,2,2,1,43,68,0
23,48,3.9890025649113303,1,1,30,1,1,1,2,2,1,20,2,1,2,33,57,0
25,40,3.09108790687074,1,2,20,2,3,6,2,2,2,40,1,2,2,32,65,0
27,48,2.07956653386799,2,2,50,1,2,2,2,3,2,70,2,2,0,37,79,0
24,29,3.43401946202938,2,2,50,1,1,1,2,5,1,50,2,2,2,38,59,0
14,30,4.23412099724586,1,2,30,2,2,2,2,5,2,80,1,2,2,35,52,0
34,46,2.83327216585559,2,2,30,2,3,5,1,4,2,60,2,2,1,40,68,0
37,43,3.91204300522815,2,2,50,2,2,1,2,5,2,70,1,2,2,35,65,0
23,44,2.30268508799438,1,1,50,1,3,2,2,5,2,80,2,2,0,33,74,0
14,38,2.77265122028674,2,1,40,1,2,1,2,3,1,40,2,1,1,35,59,0
19,60,2.99578227230403,1,1,20,1,1,1,1,2,2,80,1,2,1,37,72,0
17,25,4.4659196128414,1,1,50,1,2,5,1,2,2,70,1,1,2,38,61,0
19,35,2.1973356822749497,1,2,20,2,2,1,2,4,2,70,1,2,0,32,68,0
18,30,3.9318452403752295,2,2,40,1,2,1,2,3,2,60,2,2,2,35,79,0
24,37,2.83327216585559,2,2,50,2,2,2,2,5,2,70,2,1,2,35,65,0
27,51,2.9444916093603903,1,2,30,1,3,2,2,4,2,50,1,2,1,30,73,0
14,36,2.5650262775800297,2,1,40,1,3,1,2,2,2,60,2,2,0,30,50,0
20,34,2.5650262775800297,2,2,40,2,1,2,2,5,2,70,1,2,0,35,67,0
18,49,2.9444916093603903,2,2,30,2,1,1,1,5,2,60,1,2,1,42,75,0
16,43,2.89042731190857,2,2,80,1,3,3,2,3,2,90,2,1,0,36,71,0
29,45,3.87122184402421,2,2,40,1,2,1,2,3,1,50,2,2,2,39,73,0
23,29,3.8066847117456297,1,2,20,2,1,2,2,2,2,50,1,2,2,25,62,0
25,40,1.94605299599506,2,2,20,2,2,1,2,5,2,30,1,2,1,38,73,0
28,48,2.9444916093603903,2,2,50,2,3,1,2,4,2,70,2,1,0,32,60,0
28,47,3.40123071443995,1,2,50,2,1,1,2,2,2,60,2,2,1,32,71,0
19,33,3.52638993594835,2,2,20,2,2,1,2,5,2,0,2,2,2,38,62,0
