NASA,TA,H,RS,WH,TWR,BR,NP,FA,AP,AR,DWH,DWR,T,DS,Rank,BFI_SUM,CISS_SUM,SR
15,30,2.89042731190857,2,2,20,1,1,1,2,3,2,90,1,2,1,34,63,0
21,24,3.52638993594835,1,2,40,2,2,1,2,3,2,90,2,2,2,35,59,1
22,41,4.14315059928143,2,1,60,1,1,6,2,3,1,60,2,1,2,36,65,1
23,44,3.29587390235551,2,2,30,1,1,1,2,1,2,70,2,2,2,31,70,1
13,39,3.3673303121505804,2,2,60,2,2,1,2,3,2,80,2,2,0,34,59,1
22,41,4.14315059928143,2,1,60,1,1,6,2,3,1,60,2,1,2,36,65,1
26,35,3.17809549614658,2,2,30,1,2,1,2,5,1,10,2,1,1,31,67,1
22,39,2.83327216585559,1,2,30,2,1,6,2,2,2,50,2,2,1,37,72,1
20,52,3.6109449393060298,2,2,50,2,1,1,1,2,1,90,1,2,1,33,65,1
18,28,3.13553769324487,1,2,30,2,2,1,2,5,2,70,2,1,2,28,59,1
21,27,2.83327216585559,1,2,30,1,2,2,2,5,2,60,2,1,0,37,59,1
18,48,2.70811686554675,2,2,30,1,2,1,2,5,2,50,2,2,0,39,63,1
18,55,2.70811686554675,2,2,50,2,2,6,1,3,1,50,2,1,2,39,67,1
11,34,3.40123071443995,1,2,60,1,1,3,2,1,2,80,1,1,2,31,57,1
25,42,4.09436122874988,2,2,30,1,1,3,2,5,1,30,2,1,2,43,70,1
22,61,2.1973356822749497,2,2,50,1,1,1,2,1,2,60,2,1,1,37,85,1
30,35,3.40123071443995,1,2,60,2,3,4,2,4,2,80,1,2,2,30,58,1
20,29,3.7612233712371004,1,2,30,2,1,1,2,1,1,40,2,1,2,31,52,1
26,31,3.46576715231146,1,2,50,1,1,1,2,4,2,70,2,1,2,27,59,1
13,39,3.3673303121505804,2,2,60,2,2,1,2,3,2,80,2,2,0,34,59,1
23,48,3.55537663250983,1,2,40,1,2,1,2,4,2,80,1,2,1,34,66,1
9,36,3.6109449393060298,1,2,20,1,1,1,2,4,2,70,2,1,2,26,48,1
24,21,4.11089025748156,2,2,70,2,1,6,2,5,2,90,2,1,2,34,63,1
32,55,2.89042731190857,2,2,50,2,3,1,2,2,2,80,2,2,0,38,70,1
29,43,3.43401946202938,1,2,30,1,1,6,2,5,2,50,2,2,2,38,82,1
20,56,3.46576715231146,2,2,50,1,1,1,2,2,2,70,2,2,2,40,63,1
24,45,4.07755439291463,2,2,40,1,1,3,2,4,2,50,2,2,0,33,63,1
17,31,3.87122184402421,2,2,30,1,1,2,2,3,2,80,2,2,1,35,60,1
22,46,2.07956653386799,1,2,60,2,2,3,2,4,2,20,2,2,1,31,66,1
24,45,4.07755439291463,2,2,40,1,1,3,2,4,2,50,2,2,0,33,63,1
20,29,3.7612233712371004,1,2,30,2,1,1,2,1,1,40,2,1,2,31,52,1
13,33,3.40123071443995,1,2,60,1,1,3,2,5,2,90,1,1,2,24,57,1
18,34,3.43401946202938,1,2,10,1,1,1,2,2,2,70,2,2,2,28,67,1
22,43,2.3979861777573,2,2,60,2,1,1,2,4,2,80,1,2,0,35,68,1
24,38,2.77265122028674,1,2,50,1,2,2,2,4,2,70,2,2,0,33,80,1
11,20,3.13553769324487,1,1,20,1,1,2,2,5,2,30,2,1,2,25,61,1
25,36,3.33224022382318,1,2,60,2,3,1,2,1,2,80,1,2,0,28,59,1
24,21,4.11089025748156,2,2,70,2,1,6,2,5,2,90,2,1,2,34,63,1
18,45,2.83327216585559,2,2,20,1,1,2,2,5,2,50,2,2,1,37,62,1
20,56,3.46576715231146,2,2,50,1,1,1,2,2,2,70,2,2,2,40,63,1
23,26,2.5650262775800297,2,2,40,1,2,1,2,1,2,50,1,1,2,43,67,1
18,55,2.70811686554675,2,2,50,2,2,6,1,3,1,50,2,1,2,39,67,1
21,24,3.52638993594835,1,2,40,2,2,1,2,3,2,90,2,2,2,35,59,1
24,38,2.77265122028674,1,2,50,1,2,2,2,4,2,70,2,2,0,33,80,1
19,29,3.2189158240682203,1,2,40,1,3,1,2,5,2,100,2,1,2,38,80,1
19,29,3.2189158240682203,1,2,40,1,3,1,2,5,2,100,2,1,2,38,80,1
21,37,4.290473139684701,1,2,60,1,1,2,2,1,2,90,2,1,2,33,57,1
13,31,3.3673303121505804,2,2,40,1,1,1,2,5,2,60,2,2,2,35,54,1
21,29,4.09436122874988,1,2,70,2,1,1,2,4,1,80,2,1,2,38,53,1
19,29,3.2189158240682203,1,2,40,1,3,1,2,5,2,100,2,1,2,38,80,1
29,58,2.1973356822749497,1,2,30,2,2,6,2,5,2,60,1,2,0,34,74,1
19,22,3.52638993594835,2,1,60,1,1,1,2,4,2,80,2,1,1,37,57,1
18,48,3.25813499882032,1,2,10,2,2,6,2,2,2,50,2,2,2,36,64,1
20,30,3.7612233712371004,2,2,40,2,3,1,2,4,2,60,2,2,2,34,70,1
21,23,2.9444916093603903,2,1,60,1,1,1,2,4,2,70,2,1,1,32,53,1
21,48,3.33224022382318,2,2,20,2,1,1,2,2,2,40,2,1,2,29,74,1
16,26,4.779131896437571,2,2,50,1,2,1,2,4,2,70,1,1,2,34,55,1
29,44,3.13553769324487,1,2,60,1,1,1,1,3,2,90,1,2,1,28,74,1
29,58,2.1973356822749497,1,2,30,2,2,6,2,5,2,60,1,2,0,34,74,1
19,31,3.17809549614658,1,2,60,1,1,2,2,3,1,70,2,1,2,31,56,1
20,52,3.6109449393060298,2,2,50,2,1,1,1,2,1,90,1,2,1,33,65,1
20,49,3.2189158240682203,2,1,10,1,2,1,2,2,2,50,1,2,0,29,76,1
26,51,3.89184070606565,1,2,20,1,2,2,2,4,2,70,1,2,2,33,67,1
16,49,2.70811686554675,1,2,50,2,2,1,1,4,1,70,2,1,0,37,61,1
9,36,3.6109449393060298,1,2,20,1,1,1,2,4,2,70,2,1,2,26,48,1
20,56,3.46576715231146,2,2,50,1,1,1,2,2,2,70,2,2,2,40,63,1
33,43,2.77265122028674,2,2,50,1,1,1,2,2,2,80,2,2,0,37,76,1
24,41,3.3673303121505804,2,2,50,2,1,2,2,3,2,60,2,2,1,39,75,1
24,38,2.77265122028674,1,2,50,1,2,2,2,4,2,70,2,2,0,33,80,1
11,29,3.33224022382318,2,2,50,1,1,4,1,4,2,70,2,1,1,31,61,1
19,22,3.52638993594835,2,1,60,1,1,1,2,4,2,80,2,1,1,37,57,1
24,38,2.77265122028674,1,2,50,1,2,2,2,4,2,70,2,2,0,33,80,1
24,41,3.3673303121505804,2,2,50,2,1,2,2,3,2,60,2,2,1,39,75,1
20,25,3.85016887807946,2,2,60,1,2,1,1,4,2,80,2,1,2,42,63,1
18,49,3.55537663250983,2,2,60,2,1,1,2,2,2,80,1,2,1,32,83,1
22,45,2.77265122028674,2,2,40,2,1,4,2,2,2,50,1,2,0,31,72,1
11,34,3.40123071443995,1,2,60,1,1,3,2,1,2,80,1,1,2,31,57,1
23,62,1.7919261220073799,1,2,40,2,1,1,2,5,1,40,2,1,0,37,74,1
29,43,3.43401946202938,1,2,30,1,1,6,2,5,2,50,2,2,2,38,82,1
20,31,2.9444916093603903,1,2,10,2,1,1,2,3,2,50,2,2,2,38,63,1
18,34,3.43401946202938,1,2,10,1,1,1,2,2,2,70,2,2,2,28,67,1
13,39,3.3673303121505804,2,2,60,2,2,1,2,3,2,80,2,2,0,34,59,1
24,31,4.07755439291463,2,2,50,2,3,6,1,4,1,50,1,1,2,37,60,1
19,31,2.1973356822749497,2,2,40,2,2,1,2,5,2,70,1,1,1,35,71,1
13,39,3.3673303121505804,2,2,60,2,2,1,2,3,2,80,2,2,0,34,59,1
18,28,3.13553769324487,1,2,30,2,2,1,2,5,2,70,2,1,2,28,59,1
11,34,3.40123071443995,1,2,60,1,1,3,2,1,2,80,1,1,2,31,57,1
30,35,3.40123071443995,1,2,60,2,3,4,2,4,2,80,1,2,2,30,58,1
13,22,3.6109449393060298,2,2,30,1,1,1,2,3,2,30,1,2,2,32,53,1
26,51,3.89184070606565,1,2,20,1,2,2,2,4,2,70,1,2,2,33,67,1
22,39,2.83327216585559,1,2,30,2,1,6,2,2,2,50,2,2,1,37,72,1
21,48,3.33224022382318,2,2,20,2,1,1,2,2,2,40,2,1,2,29,74,1
18,28,3.13553769324487,1,2,30,2,2,1,2,5,2,70,2,1,2,28,59,1
13,33,3.40123071443995,1,2,60,1,1,3,2,5,2,90,1,1,2,24,57,1
23,38,3.4965378640376605,2,2,50,2,1,1,2,5,2,60,1,2,2,38,72,1
26,31,3.46576715231146,1,2,50,1,1,1,2,4,2,70,2,1,2,27,59,1
14,36,3.46576715231146,2,2,60,1,1,1,2,5,2,20,1,2,2,37,55,1
33,43,2.77265122028674,2,2,50,1,1,1,2,2,2,80,2,2,0,37,76,1
21,27,2.83327216585559,1,2,30,1,2,2,2,5,2,60,2,1,0,37,59,1
8,37,3.46576715231146,1,1,50,1,3,1,1,5,2,90,2,2,1,31,71,1
24,21,4.11089025748156,2,2,70,2,1,6,2,5,2,90,2,1,2,34,63,1
18,28,4.09436122874988,2,2,50,1,1,2,2,5,1,60,2,1,2,31,60,1
18,28,4.09436122874988,2,2,50,1,1,2,2,5,1,60,2,1,2,31,60,1
20,52,3.6376124751696097,1,2,40,1,2,4,2,4,2,60,1,2,2,40,75,1
25,42,4.09436122874988,2,2,30,1,1,3,2,5,1,30,2,1,2,43,70,1
30,49,2.30268508799438,2,2,50,2,2,1,2,4,1,30,2,1,0,33,67,1
21,48,3.33224022382318,2,2,20,2,1,1,2,2,2,40,2,1,2,29,74,1
20,25,3.85016887807946,2,2,60,1,2,1,1,4,2,80,2,1,2,42,63,1
18,55,2.70811686554675,2,2,50,2,2,6,1,3,1,50,2,1,2,39,67,1
19,41,3.82866313538324,2,2,30,2,2,5,2,1,1,50,2,1,2,37,52,1
24,31,4.07755439291463,2,2,50,2,3,6,1,4,1,50,1,1,2,37,60,1
20,49,3.2189158240682203,2,1,10,1,2,1,2,2,2,50,1,2,0,29,76,1
25,56,2.30268508799438,1,2,30,2,1,1,1,3,2,40,1,2,0,44,80,1
15,24,2.5650262775800297,1,1,30,1,1,6,1,3,1,30,2,1,2,38,60,1
15,36,3.4965378640376605,2,2,20,2,1,6,2,2,1,20,2,1,2,34,63,1
25,56,2.30268508799438,1,2,30,2,1,1,1,3,2,40,1,2,0,44,80,1
20,56,3.46576715231146,2,2,50,1,1,1,2,2,2,70,2,2,2,40,63,1
21,27,2.83327216585559,1,2,30,1,2,2,2,5,2,60,2,1,0,37,59,1
20,56,3.46576715231146,2,2,50,1,1,1,2,2,2,70,2,2,2,40,63,1
22,45,2.77265122028674,2,2,40,2,1,4,2,2,2,50,1,2,0,31,72,1
25,56,2.30268508799438,1,2,30,2,1,1,1,3,2,40,1,2,0,44,80,1
19,31,3.17809549614658,1,2,60,1,1,2,2,3,1,70,2,1,2,31,56,1
19,41,3.82866313538324,2,2,30,2,2,5,2,1,1,50,2,1,2,37,52,1
23,48,3.55537663250983,1,2,40,1,2,1,2,4,2,80,1,2,1,34,66,1
22,45,2.99578227230403,1,2,40,2,2,6,2,5,2,60,2,2,1,30,51,1
35,55,3.68890445380144,1,2,10,2,1,1,2,5,2,90,2,2,2,42,76,1
13,31,3.3673303121505804,2,2,40,1,1,1,2,5,2,60,2,2,2,35,54,1
30,35,3.40123071443995,1,2,60,2,3,4,2,4,2,80,1,2,2,30,58,1
13,31,3.3673303121505804,2,2,40,1,1,1,2,5,2,60,2,2,2,35,54,1
22,39,2.83327216585559,1,2,30,2,1,6,2,2,2,50,2,2,1,37,72,1
26,51,3.89184070606565,1,2,20,1,2,2,2,4,2,70,1,2,2,33,67,1
24,45,4.07755439291463,2,2,40,1,1,3,2,4,2,50,2,2,0,33,63,1
18,43,3.2189158240682203,1,2,60,2,2,1,2,2,1,60,2,1,2,41,79,1
35,55,3.68890445380144,1,2,10,2,1,1,2,5,2,90,2,2,2,42,76,1
29,58,2.1973356822749497,1,2,30,2,2,6,2,5,2,60,1,2,0,34,74,1
24,31,4.07755439291463,2,2,50,2,3,6,1,4,1,50,1,1,2,37,60,1
18,40,3.66358728682656,1,2,40,2,1,5,2,2,2,90,2,1,2,38,54,1
24,38,2.77265122028674,1,2,50,1,2,2,2,4,2,70,2,2,0,33,80,1
23,48,3.55537663250983,1,2,40,1,2,1,2,4,2,80,1,2,1,34,66,1
32,55,2.89042731190857,2,2,50,2,3,1,2,2,2,80,2,2,0,38,70,1
20,29,3.7612233712371004,1,2,30,2,1,1,2,1,1,40,2,1,2,31,52,1
19,22,3.52638993594835,2,1,60,1,1,1,2,4,2,80,2,1,1,37,57,1
23,26,2.5650262775800297,2,2,40,1,2,1,2,1,2,50,1,1,2,43,67,1
23,44,3.29587390235551,2,2,30,1,1,1,2,1,2,70,2,2,2,31,70,1
16,49,2.70811686554675,1,2,50,2,2,1,1,4,1,70,2,1,0,37,61,1
16,36,4.60518018593809,2,2,60,2,1,1,1,1,2,80,1,2,2,32,63,1
11,29,3.33224022382318,2,2,50,1,1,4,1,4,2,70,2,1,1,31,61,1
21,48,3.33224022382318,2,2,20,2,1,1,2,2,2,40,2,1,2,29,74,1
21,37,4.290473139684701,1,2,60,1,1,2,2,1,2,90,2,1,2,33,57,1
25,56,2.30268508799438,1,2,30,2,1,1,1,3,2,40,1,2,0,44,80,1
23,62,1.7919261220073799,1,2,40,2,1,1,2,5,1,40,2,1,0,37,74,1
17,31,3.87122184402421,2,2,30,1,1,2,2,3,2,80,2,2,1,35,60,1
29,43,3.43401946202938,1,2,30,1,1,6,2,5,2,50,2,2,2,38,82,1
20,25,3.85016887807946,2,2,60,1,2,1,1,4,2,80,2,1,2,42,63,1
29,44,3.13553769324487,1,2,60,1,1,1,1,3,2,90,1,2,1,28,74,1
12,39,3.9318452403752295,1,2,30,2,1,1,2,4,2,70,2,2,2,41,60,1
13,31,3.3673303121505804,2,2,40,1,1,1,2,5,2,60,2,2,2,35,54,1
25,56,2.30268508799438,1,2,30,2,1,1,1,3,2,40,1,2,0,44,80,1
23,44,3.29587390235551,2,2,30,1,1,1,2,1,2,70,2,2,2,31,70,1
21,36,3.40123071443995,1,2,10,1,1,1,2,3,2,40,2,2,2,33,70,1
28,48,3.09108790687074,2,2,20,2,3,4,1,2,2,10,1,2,1,36,58,1
28,48,3.09108790687074,2,2,20,2,3,4,1,2,2,10,1,2,1,36,58,1
23,62,1.7919261220073799,1,2,40,2,1,1,2,5,1,40,2,1,0,37,74,1
19,22,3.52638993594835,2,1,60,1,1,1,2,4,2,80,2,1,1,37,57,1
15,36,3.4965378640376605,2,2,20,2,1,6,2,2,1,20,2,1,2,34,63,1
22,46,2.07956653386799,1,2,60,2,2,3,2,4,2,20,2,2,1,31,66,1
19,31,2.1973356822749497,2,2,40,2,2,1,2,5,2,70,1,1,1,35,71,1
18,28,3.13553769324487,1,2,30,2,2,1,2,5,2,70,2,1,2,28,59,1
18,28,3.13553769324487,1,2,30,2,2,1,2,5,2,70,2,1,2,28,59,1
16,26,4.779131896437571,2,2,50,1,2,1,2,4,2,70,1,1,2,34,55,1
22,41,4.14315059928143,2,1,60,1,1,6,2,3,1,60,2,1,2,36,65,1
26,58,3.8066847117456297,1,2,20,2,1,4,2,5,2,60,1,2,2,30,62,1
16,26,4.779131896437571,2,2,50,1,2,1,2,4,2,70,1,1,2,34,55,1
18,49,3.55537663250983,2,2,60,2,1,1,2,2,2,80,1,2,1,32,83,1
35,55,3.68890445380144,1,2,10,2,1,1,2,5,2,90,2,2,2,42,76,1
19,31,2.1973356822749497,2,2,40,2,2,1,2,5,2,70,1,1,1,35,71,1
25,36,3.33224022382318,1,2,60,2,3,1,2,1,2,80,1,2,0,28,59,1
20,29,3.7612233712371004,1,2,30,2,1,1,2,1,1,40,2,1,2,31,52,1
30,49,2.30268508799438,2,2,50,2,2,1,2,4,1,30,2,1,0,33,67,1
16,49,2.70811686554675,1,2,50,2,2,1,1,4,1,70,2,1,0,37,61,1
18,55,2.70811686554675,2,2,50,2,2,6,1,3,1,50,2,1,2,39,67,1
25,36,3.33224022382318,1,2,60,2,3,1,2,1,2,80,1,2,0,28,59,1
30,49,2.30268508799438,2,2,50,2,2,1,2,4,1,30,2,1,0,33,67,1
21,24,3.52638993594835,1,2,40,2,2,1,2,3,2,90,2,2,2,35,59,1
20,56,3.46576715231146,2,2,50,1,1,1,2,2,2,70,2,2,2,40,63,1
11,20,3.13553769324487,1,1,20,1,1,2,2,5,2,30,2,1,2,25,61,1
28,56,3.3673303121505804,1,2,40,1,3,1,2,2,2,60,1,2,1,40,84,1
20,52,3.6376124751696097,1,2,40,1,2,4,2,4,2,60,1,2,2,40,75,1
21,37,4.290473139684701,1,2,60,1,1,2,2,1,2,90,2,1,2,33,57,1
28,48,3.09108790687074,2,2,20,2,3,4,1,2,2,10,1,2,1,36,58,1
18,28,3.13553769324487,1,2,30,2,2,1,2,5,2,70,2,1,2,28,59,1
20,52,3.6109449393060298,2,2,50,2,1,1,1,2,1,90,1,2,1,33,65,1
11,34,3.40123071443995,1,2,60,1,1,3,2,1,2,80,1,1,2,31,57,1
22,46,2.07956653386799,1,2,60,2,2,3,2,4,2,20,2,2,1,31,66,1
35,55,3.68890445380144,1,2,10,2,1,1,2,5,2,90,2,2,2,42,76,1
23,44,3.52638993594835,2,2,30,2,1,2,2,5,2,40,1,2,2,34,69,1
27,47,2.83327216585559,2,2,30,1,1,1,2,3,2,50,1,2,0,33,83,1
20,52,3.6109449393060298,2,2,50,2,1,1,1,2,1,90,1,2,1,33,65,1
24,41,3.3673303121505804,2,2,50,2,1,2,2,3,2,60,2,2,1,39,75,1
29,44,3.13553769324487,1,2,60,1,1,1,1,3,2,90,1,2,1,28,74,1
18,40,3.66358728682656,1,2,40,2,1,5,2,2,2,90,2,1,2,38,54,1
18,28,3.13553769324487,1,2,30,2,2,1,2,5,2,70,2,1,2,28,59,1
12,39,3.9318452403752295,1,2,30,2,1,1,2,4,2,70,2,2,2,41,60,1
18,28,4.09436122874988,2,2,50,1,1,2,2,5,1,60,2,1,2,31,60,1
26,51,3.89184070606565,1,2,20,1,2,2,2,4,2,70,1,2,2,33,67,1
20,30,3.7612233712371004,2,2,40,2,3,1,2,4,2,60,2,2,2,34,70,1
24,38,2.77265122028674,1,2,50,1,2,2,2,4,2,70,2,2,0,33,80,1
